conference,unique_id,grant ID,full funding string
aaai,14269,"['CCF', '1422324']","NSF through grants CCF-1422324,"
aaai,14508,"['IIS', '16-19302']",NSF Grant IIS 16-19302.
aaai,14239,['1560302'],NSF Grant 1560302.
aaai,14911,"['IIS', '0534064']","NSF grants IIS-0534064,"
aaai,14283,"['CCF', '1215883']","NSF grants CCF- 1215883,"
aaai,14757,"['IIS', '1527434']",NSF IIS-1527434
aaai,14334,"['IIS', '0845036']",NSF IIS- 0845036
aaai,14537,"['IIS', '1527434']","NSF under awards IIS-1527434 and CCF-1337215,"
aaai,14704,"['CCF', '1527084']",NSF grants CCF-1527084 and CCF-1535972.
aaai,14675,"['IIS', '1527434']",NSF IIS-1527434
aaai,14986,"['DMS', '1418255']",NSF DMS- 1418255
aaai,14631,"['CCF', '1527497']",NSF award CCF- 1527497.
aaai,14970,"['CCF', '1301976']",NSF grant CCF-1301976.
aaai,14381,"['CCF', '0808863']","NSF Grants CCF-0808863,"
aaai,14218,"['CCF', '1344179']","NSF Grants CCF 1344179,"
aaai,15003,"['IIS', '0953219']","NSF grants IIS-0953219,"
aaai,14466,"['IIS', '1302164']",NSF IIS-1302164
aaai,14969,"['IIS', '1422218']",NSF IIS:1422218
aaai,14818,['1054389'],NSF award #1054389.
aaai,14234,"['ECCS', '1407712']",NSF ECCS 1407712
aaai,14156,"['IIP', '1533983']",NSF IIP1533983
aaai,14814,"['CCF', '1422910']","NSF grants CCF- 1422910,"
aaai,14860,"['CCF', '1320566']","NSF Grants CCF: 1320566,"
aaai,14784,"['DMS', '1310391']",NSF DMS 1310391
aaai,14990,"['DBI', '1458477']",NSF DBI-1458477
aaai,14569,"['IIS', '1218712']",National Science Foundation Grants IIS 1218712.
aaai,14678,"['IIS', '1423056']",NSF IIS-1423056
aaai,14551,"['IIS', '1552533']",NSF grant IIS-1552533.
aaai,14768
aaai,14702,"['IIS', '1423056']",NSF IIS-1423056
aaai,14620,"['CCF', '1320746']","NSF grants CCF-1320746,"
aaai,14827,"['IIS', '1351029']",NSF Grant IIS-1351029 and the Allen Institute for Artiﬁcial Intelligence.
aaai,14177,"['IIS', '1343639']","NSF awards IIS-1343639,"
aaai,14984,['1409987'],NSF under grant numbers 1409987 and 1319966.
aaai,15035,"['IIS', '1553547']",NSF grant IIS-1553547.
aaai,14908,"['IIS', '1526842']","NSF grants IIS-1526842 and IIS-1254071,"
aaai,14946,"['IIS', '0964457']","NSF under grants IIS- 0964457,"
aaai,14968,"['CCF', '1139138']","NSF grants CCF-1139138,"
aaai,14463,"['IIS', '1302164']",NSF IIS-1302164
aaai,14246,"['IIS', '1065243']",NSF IIS-1065243
aaai,14155,"['IIS', '1423305']",NSF IIS 1423305
aaai,14933,['1217888'],NSF under grant  1217888.
aaai,14870,"['IIS', '1527668']","NSF grants IIS-1527668,"
aaai,14583,"['IIS', '1115493']","NSF grant (IIS-1115493),"
aaai,15018,"['IIS', '1563950']","NSF grants IIS-1563950,"
aaai,14435,['1522054'],NSF grant 1522054 through subcontract 72954-10597.
aaai,14983,['1515258'],NSF grant 1515258.
aaai,14270,"['IIS', '1317718']",NSF IIS-1317718
aaai,14799,"['CCF', '1522054']","NSF awards CCF-1522054 and CNS-0832782 (Expeditions),"
aaai,14826,"['IIS', '1149917']",NSF IIS-1149917
aaai,14651,"['IIS', '1527434']","NSF under awards IIS-1527434 and CCF-1337215,"
aaai,14994,['1521672'],"NSF Grant #1521672 to Doug  Fisher at Vanderbilt University for research,"
aaai,14949,"['CNF', '1531330']",NSF grant CNF-1531330 are gratefully acknowledged.
aaai,14995,"['IIS', '1219142']",NSF Grant IIS-1219142.
aaai,14256,['1125423'],NSF grant 1125423.
aaai,14951,"['IIS', '1640380']",NSF Grants IIS-1640380  and IIS-1351029.
aaai,14655
aaai,14568,"['III', '1514126']","NSF grants III-1514126 (Ziebart,"
aaai,11824,"['IIS', '1218712']",National Science Foundation Grants IIS 1218712.
aaai,12441,"['DBI', '0939454']","NSF grant DBI-0939454,"
aaai,12480,['1527434'],"NSF under awards IIS- We are thankful 1527434,"
aaai,12163,"['CCF', '1161626']","NSF grant CCF-1161626,"
aaai,12254,"['IIS', '1527434']","NSF under awards IIS- 1527434,"
aaai,12504,"['IIS', '1527434']","NSF under awards IIS- 1527434,"
aaai,11876,"['CNS', '1238959']","NSF award numbers CNS-1238959,"
aaai,12494,"['IIS', '1320620']",NSF IIS-1320620 and IIS- 1546752
aaai,11821,"['CCF', '1525932']","NSF under grants CCF-1525932,"
aaai,12094,"['IIS', '1065618']","NSF grants IIS-1065618,"
aaai,12514,"['IIS', '1218749']",NSF IIS-1218749
aaai,11953,['1347119'],"NSF Award #1347119 (methods),"
aaai,12515,['1528037'],NSF award 1528037.
aaai,12338,"['IIS', '1422218']",NSF IIS- 1422218
aaai,12174,['1502273'],NSF grant 1502273 and 1523115.
aaai,12232,"['CNS', '1548078']","NSF grant CNS-1548078,"
aaai,12046,"['IIS', '1247581']",NSF award IIS- 1247581 and by the University of Padova under project CPDA121378/12.
aaai,11844,"['IIS', '1117591']","NSF awards IIS-1117591,"
aaai,12335
aaai,12252,"['IIS', '1319365']",NSF grant IIS 1319365.
aaai,12473,"['IIS', '1118050']",NSF grant IIS-1118050.
aaai,12001,['1420927'],"NSF grant 1420927,"
