author,paper_count,institution,2013,2014,2015,2016,2017,2018,2019,Notes
 Xiaogang Wang,105,<none>,14,7,15,9,23,13,24
Yoshua Bengio,97,Mila,12,15,7,10,17,12,24
 Luc Van Gool,91,<none>,17,8,9,8,14,16,19
 Ming-Hsuan Yang,82,<none>,11,5,12,11,16,17,10
Sergey Levine,74,UC Berkeley,1,1,0,9,13,20,30
Lawrence Carin,67,Duke University,5,8,12,9,15,8,10
 Wei Liu,62,<none>,3,2,8,1,6,13,29
 Chunhua Shen,62,<none>,9,1,9,6,10,10,17
 Raquel Urtasun,62,<none>,9,6,11,5,10,9,12
 Marc Pollefeys,61,<none>,10,6,10,5,11,6,13
 Bernt Schiele,58,<none>,6,4,9,8,15,9,7
 Shuicheng Yan,58,<none>,13,7,14,5,12,4,3
 Jiaya Jia,57,<none>,7,6,9,2,9,6,18
 Wanli Ouyang,56,<none>,6,2,5,6,11,9,17
 Lei Zhang,56,<none>,12,2,6,7,9,7,13
 Li Fei-Fei,55,<none>,7,3,9,6,13,7,10
 Sanja Fidler,55,<none>,6,5,11,4,9,7,13
Stefano Ermon,54,Stanford University,1,2,3,10,8,15,15
 Yi Yang,54,<none>,5,3,6,6,8,7,19
Andreas Krause,53,ETH Zurich,3,5,8,9,10,8,10
 Xiaoou Tang,53,<none>,14,4,15,7,7,3,3
Le Song,52,Georgia Institute of Technology,4,5,5,5,10,12,11
Pieter Abbeel,52,UC Berkeley & covariant.ai,0,1,3,10,10,13,15
 Qi Tian,51,<none>,4,5,6,4,7,4,21
 Jitendra Malik,51,<none>,6,3,16,3,5,7,11
 Liang Lin,50,<none>,6,1,5,5,9,9,15
Zhi-Hua Zhou,49,Nanjing University,3,6,5,7,11,12,5
 Zhe Lin,49,<none>,8,3,8,5,9,5,11
 Alan L. Yuille,49,<none>,4,5,10,5,3,5,17
 Trevor Darrell,49,<none>,4,5,9,6,9,5,11
 Jiashi Feng,48,<none>,1,2,1,7,14,10,13
 Cordelia Schmid,47,<none>,10,4,9,1,11,3,9
 Song-Chun Zhu,47,<none>,13,5,4,3,7,8,7
Jun Zhu,46,Tsinghua University,1,7,3,6,5,12,12
 Pascal Fua,46,<none>,6,2,9,6,6,8,9
Heng Huang,45,University of Pittsburgh,5,6,3,6,8,10,7
 Ling Shao,45,<none>,0,4,1,0,8,4,28
 Jian Sun,45,<none>,10,6,12,3,3,4,7
Max Welling,45,University of Amsterdam / Qualcomm AI Research,1,6,5,4,8,8,13
Tie-Yan Liu,44,Microsoft,2,4,2,4,11,8,13
Masashi Sugiyama,44,RIKEN / University of Tokyo,4,4,2,1,7,11,15
 Larry S. Davis,44,<none>,4,0,4,3,10,8,15
Shie Mannor,43,Technion,5,5,7,5,6,6,9
Dacheng Tao,43,University of Sydney,2,3,2,9,9,7,11
 Dacheng Tao,43,<none>,3,2,5,4,6,4,19
 Anton van den Hengel,43,<none>,6,1,8,8,8,5,7
 Abhinav Gupta,43,<none>,4,2,7,5,15,5,5
 Kristen Grauman,42,<none>,8,5,2,4,8,7,8
 Huchuan Lu,42,<none>,4,1,5,2,5,9,16
 Junjie Yan,42,<none>,1,2,3,2,8,9,17
 Silvio Savarese,41,<none>,7,1,7,5,5,7,9
 In So Kweon,40,<none>,4,3,8,7,8,5,5
 Wangmeng Zuo,40,<none>,4,1,4,7,6,7,11
 Devi Parikh,40,<none>,8,2,6,4,6,3,11
