university_name,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008
Johns Hopkins University ,"2,562,307","2,431,180","2,305,679","2,242,478","2,168,568","2,106,185","2,145,308","2,004,482","1,866,243","1,691,469"
"University of Michigan, Ann Arbor","1,530,139","1,436,448","1,369,278","1,349,262","1,375,117","1,322,711","1,279,123","1,184,445",0,0
"University of California, San Francisco","1,409,398","1,294,261","1,126,620","1,084,031","1,042,841","1,032,673","995,226","935,509","947,697","885,182"
University of Pennsylvania,"1,374,293","1,296,429","864,068","828,350","828,422","847,077","886,036","836,322","758,159","740,410"
"University of Washington, Seattle","1,348,220","1,277,679","1,180,563","1,176,340","1,192,513","1,109,008","1,148,533","1,022,740",0,0
University of Wisconsin-Madison,"1,193,413","1,157,680","1,069,077","1,108,564","1,123,501","1,169,779","1,111,642","1,029,295","1,013,649","944,626"
"University of California, San Diego","1,133,454","1,087,117","1,101,466","1,067,388","1,075,554","1,073,864","1,009,378","943,219","883,653","844,877"
Duke University,"1,126,924","1,055,778","1,036,698","1,036,813","992,821","1,009,911","1,022,207","983,289","807,652","769,893"
Harvard University,"1,123,160","1,077,253","1,013,753","933,975","1,012,766","799,432","649,774","583,361","525,452","505,832"
Stanford University,"1,109,708","1,066,269","1,022,551","959,247","945,450","903,238","907,971","839,839","717,022","698,883"
"University of North Carolina at Chapel Hill, The","1,102,063","1,045,338","966,781","989,766","973,007","884,791","869,174","755,284","651,308","530,515"
"University of California, Los Angeles","1,076,917","1,037,528","1,021,227","948,197","966,659","1,003,375","982,357","936,995","923,916","904,840"
Cornell University,"984,478","974,199","954,412","883,292","845,184","802,387","781,651","749,721","672,692","655,641"
Massachusetts Institute of Technology,"952,017","946,159","930,719","908,017","900,524","824,130","723,610","677,138","759,649","682,058"
Yale University,"951,084","881,765","803,004","772,840","788,784","656,555","656,967","623,510","512,997","490,913"
"University of Pittsburgh, Pittsburgh","939,706","889,793","861,205","856,806","872,736","866,638","899,386","822,491","629,088","599,800"
"University of Minnesota, Twin Cities","921,681","910,181","880,618","876,870","858,378","826,173","847,419","786,074",0,0
New York University,"917,744","809,739","602,041","523,623","471,909","458,645","430,752","365,944","338,839","337,093"
"Texas A&M University, College Station","905,474","892,718","866,678","854,214","820,015","693,421","705,720","689,624","651,923","604,526"
Columbia University in the City of New York,"893,062","837,312","868,159","890,642","889,188","889,487","878,900","807,235","604,660","548,704"
"University of Texas M.D.Anderson Cancer Center, The","888,029","852,095","833,406","794,980","718,096","685,814","663,279","599,529","578,788","558,503"
"Ohio State University, The","864,327","818,464","817,881","815,075","793,373","766,513","832,126","755,194","743,591","726,302"
"Pennsylvania State University, The, University Park and Hershey Medical Center","854,815","825,561","791,031","800,773","837,880","797,679","794,846","770,449",0,0
Georgia Institute of Technology,"804,301","790,706","765,370","725,550","730,488","688,905","655,375","615,833","565,487","524,888"
University of Florida,"801,418","791,294","739,522","708,526","695,063","696,985","739,931","681,548","644,241","632,680"
"University of California, Berkeley","770,822","774,255","788,505","744,343","727,002","730,348","707,945","694,049","682,568","620,374"
University of Southern California,"764,322","702,866","691,031","687,222","645,636","623,544","603,294","592,791","556,807","540,366"
Washington University in St. Louis,"754,462","741,115","694,069","664,752","684,847","706,410","725,039","695,974","630,141","566,378"
Northwestern University,"751,809","713,491","656,167","645,333","639,781","631,078","618,980","575,078","555,510","518,572"
"University of California, Davis","738,347","741,892","721,077","711,721","725,734","713,292","707,896","679,915","687,690","647,691"
Vanderbilt U. and Vanderbilt U. Medical Center,"712,036","640,842","647,816","683,890","571,603","560,466","566,031","504,959","455,835","444,873"
Michigan State University,"694,917","613,369","558,248","526,906","515,707","507,061","454,248","431,373","405,961","392,242"
"Rutgers, The State University of New Jersey, New Brunswick","681,719","630,212","628,613","644,116","493,320","434,901","432,306","428,432",0,0
Emory University,"664,888","614,527","585,210","558,600","575,943","565,766","547,316","529,453","459,067","463,317"
"University of Texas at Austin, The","652,187","621,692","604,376","585,251","634,132","621,538","632,171","589,502","566,166","553,051"
University of Illinois at Urbana-Champaign,"642,084","625,180","639,817","621,733","743,487","583,754","545,669","515,133","581,805","518,333"
"Purdue University, West Lafayette","622,814","606,302","558,611","564,923","595,739","602,501","578,231","548,980",0,0
"University of Arizona, The","622,200","604,464","606,219","588,088","629,466","625,365","610,565","586,647","566,334","547,197"
Baylor College of Medicine,"604,952","572,527","520,220","496,314","508,799","474,700","466,061","447,874","449,031","449,301"
Mount Sinai School of Medicine,"575,448","540,296","508,353","463,429","428,654","400,680","405,527","370,666","318,407","296,380"
"University of Alabama at Birmingham, The","561,851","537,825","516,229","428,563","440,796","453,779","503,698","489,845","435,460","405,731"
"University of South Florida, Tampa","557,889","505,965","485,354","488,641","459,409","443,206","394,963","385,029","371,037","342,665"
"University of Maryland, College Park","548,885","539,388","505,699","485,051","491,998","502,406","495,382","451,415","417,365","405,569"
Arizona State University,"545,016","518,239","458,412","426,651","405,154","385,959","355,215","329,345","311,461","273,532"
"Indiana University, Bloomington","540,421","508,766","485,076","206,039","197,897","184,486","184,096","177,520",0,0
Virginia Polytechnic Institute and State University,"522,425","521,773","504,282","513,149","496,169","454,417","450,058","398,169","399,433","375,773"
North Carolina State University,"500,445","489,918","468,293","446,112","417,468","404,225","378,154","360,795","383,193","367,422"
University of Colorado Boulder,"499,389","453,123","420,775","379,475","385,849","392,004","390,677","349,449","299,892","272,191"
University of Iowa,"494,280","473,362","443,218","449,147","435,377","446,429","443,893","444,034","334,937","300,422"
University of Colorado Denver and Anschutz Medical Campus,"480,598","443,705","410,081","411,020","409,443","431,977","417,587","389,461","364,659","269,805"
University of Virginia,"469,682","397,458","373,218","358,576","385,828","383,359","398,096","276,308","268,101","265,398"
"University of Texas Southwestern Medical Center, The","461,797","442,666","438,824","434,627","440,620","435,085","431,883","419,220","402,087","390,349"
University of Georgia,"455,432","410,345","374,264","355,471","350,225","351,395","335,901","295,339","369,997","369,546"
University of Cincinnati,"455,250","430,579","436,028","422,873","438,642","433,668","448,936","411,269","369,906","359,011"
"University of Chicago, The","433,328","420,997","412,536","390,082","402,621","419,631","453,562","437,721","381,194","360,047"
University of Maryland Baltimore,"426,895","393,876","397,695","411,268","429,315","433,228","409,665","374,036","359,542","379,407"
Boston University,"421,360","395,921","388,336","367,328","368,281","334,496","355,916","352,817","284,507","259,045"
Case Western Reserve University,"408,609","405,655","401,527","419,011","425,788","431,090","429,206","418,164","418,012","420,441"
State University of New York at Buffalo,"401,591","389,569","382,935","386,562","387,863","360,226","353,172","349,670","349,423","339,575"
California Institute of Technology,"400,312","371,060","374,424","367,182","347,105","379,713","377,514","362,172","345,400","274,671"
"University of Utah, The","380,295","350,212","518,928","486,140","494,058","430,056","414,316","379,200","334,002","254,632"
University of Kentucky,"378,374","349,661","331,705","328,239","339,764","360,776","372,932","359,944","360,254","345,355"
University of Illinois at Chicago,"372,619","337,296","354,560","347,888","367,848","388,625","380,828","362,939","347,118","339,704"
University of Miami,"367,877","358,441","331,036","345,805","344,757","365,301","323,486","280,671","250,339","244,067"
"University of California, Irvine","361,414","345,319","329,798","340,056","347,773","350,030","344,678","327,594","336,345","334,279"
