0,1,2,3,4,5,6,7,8,9,10,11
Wang,Wáng,Wang2,Wong4,Wong,Vang,Ông,BongHeng,Vòng,Wong,Uōng,Wong
Li,Lǐ,Li3,Lei5,"Lee
Li",Ly,Lí,Lee,Lí,Lee,Lî,Lee
Zhang,Zhāng,Chang1,Zoeng1,Cheung,"Cheong
Chong","Tiuⁿ(X, Q, K, T)
Tioⁿ(Z)","Teo
Teoh
Tio",Chông,Chong,Tong,"Cheong
Thong"
Liu,Liú,Liu2,Lau4,Lau,"Lao
Lou",Lâu,"Lau
Low
Lao",Liù,Liew,Liu,"Lew
Lieu"
Chen,Chén,Ch'en2,Can4,Chan,"Chun
Chean
Chin",Tân,"Tan
Tang
Ting",chhìn,chin,Thín,"Thin
Chin"
Yang,Yáng,Yang2,Joeng4,Yeung,"Yeong
Ieong
Young","Iûⁿ(X, Q, K, T)
Iôⁿ(Z)","Yeoh
Yeo
Yo
Nyo",Yòng,"Yong
Yeong",Iōng,Yeong
Huang,Huáng,Huang2,Wong4,Wong,"Wang
Vong","N̂g(X, Q, K, T)
Ûiⁿ(Z)","Ng
Ung
Uy",Vòng,"Wong
Bong",Uōng,"Wong
Fong"
Zhao,Zhào,Chao2,Ziu6,Chiu,"Chu
Chio
Jiu","Tiō(X, Z, K, T)
Tiǒ(Q)","Teo
Teoh",Chhau,Chau,Thèu,"Cheu
Chew"
Wu,Wú,Wu2,Ng4,Ng,"Ung,Eng","Gô͘
Ngô͘(X, Q, K, T)",Goh,Ǹg,Ng,Ng,Ng
Zhou,Zhōu,Chou1,Zau1,"Chow
Chau","Jao
ChauChao",Chiu,"Chew
Jew",Chiû,"Chew
Chiew",Tiu,"Chew
Cheu"
Xu,Xú,Hsü2,Ceoi4,Tsui,"Choi
Chui
Tsua","Chhî(X, Z, K, T)
Sîr(Q)","Chee
Cher
Cheu
Swee
Ji
Jee",Chhì,Chi,Chhié,"Chee
Chui"
Sun,Sūn,Sun1,Syun1,Suen,Sun,"Sng(X, Q, K, T)
Sun(X, Q, K, T)
Suiⁿ(Z)","Sng
Soon",Sûn,Sun,Sun,Suen
Ma,Mǎ,Ma3,Maa5,Ma,"Mah
Mar","Má
Bé(K, T)","Bey
Beh
Baey",Mâ,Ma,Mâ,Mâ
Zhu,Zhū,Chu1,Zyu1,Chu,Chue,Chu,Choo,Chû,Choo,Tu,Chu
Hu,Hú,Hu2,Wu4,Wu,"Woo
Vu",Ô͘,"Oh
Aw",Fù,Foo,Ū,"Wu
Foo"
Guo,Guō,Kuo1,Gwok3,Kwok,Kuok,"Koeh(Z, K, T)
Keh(X)
Kerh(Q)","Kueh
Koay
Quay
Kwek
QuekKwik",Kwok,"Kwok
Kok",Kuok,Kwok
He,Hé,"Hê2
Ho2",Ho4,Ho,Hoe,Hô,"Ho
Hor
Hou",Hò,Ho,Hó,Ho
Gao,Gāo,Kao1,Gou1,Ko,"Kou
Go","Ko(X, Z, K, T)
Ko͘(Q)","Ko
Kor","Kô
Kau",Koo,Kou,Kou
Lin,Lín,Lin2,Lam4,Lam,Lum,Lîm,Lim,Lìm,Lim,Līm,Līm
Luo,Luó,Lo2,Lo4,Lo,"Law
Loh,Lowe
Lor",Lô,"Lo
Lor
Law",Lò,"Law
Lo
Loh",Lō,"Lō
Law"
Zheng,Zhèng,Cheng4,Zeng6,Cheng,"Cheang
Chiang","Tēⁿ(K)
Tīⁿ(X, T)
Tìⁿ(Q)
Tēeⁿ(Z)","Tay
Teh",Chhang,Chang,Thàng,
Liang,Liáng,Liang2,Loeng4,Leung,"Leong
Lang
Leng","Niû(X, Q, K, T)
Niô͘(Z)",Neo,Liòng,Leong,Liōng,
Xie,Xiè,Hsieh4,Ze6,Tse,Che,"Chiā(Z, K)
Siā(X, T)
Sià(Q)","Chia
Cheah
Seah",Tshia,Cheah,Chhià,
Song,Sòng,Sung4,Sung3,Sung,,"Sòng
Sàng(K, T)",Song,Sung,"Song
Soong",Sūng,
Tang,Táng,T'ang2,Tong4,Tong,,"Tn̂g
Tông(X, Z, K, T)","Tng
Tang",Thòng,"Tong
Thong",Thóng,
Xu,Xǔ,Hsü3,Heoi2,Hui,Hoi,Khó͘,"Koh
Khoh
Ko",Hí,Hee,Hé,
Han,Hán,Han2,Hon4,Hon,,Hân,"Hang
Han",Hòn,Hon,Hón,
Feng,Féng,Feng2,Fung4,Fung,Fong,Pâng,Pang,"Fùng
Phùng",Foong,Fūng,
Deng,Dèng,Teng2,Dang6,Tang,Theng,"Tēng(X, Z, K, T)
Tèng(Q)",Teng,Then,"Ten
Then",Thèn,
Cao,Cáo,Ts'ao2,Cou4,"Cho
Tso",Chaw,"Chô(X, Z, K, T)
Chô͘(Q)",Chow,"Tshò
Tshàu","Cho
Chaw",Chhóu,
Peng,Péng,P'eng2,Pang4,Pang,Banh,"Phêⁿ(K)
Phîⁿ(X, Q, T)
Phêeⁿ(Z)","Peh
Phe",Phàng,Phang,Pháng,
Zeng,Zēng,Tseng1,Zang1,Tsang,"Chang
Dong",Chan,Chan,Tsên,Chen,Chen,
Xiao,Xiāo,Hsiao1,Siu1,"Siu
Shiu",Sio,"Siau(X, Z, K, T)
Sio(X, Q, K, T)","Seow
Siau
Siow",Siâu,"Siew
Siaw",Sieu,
Tian,Tián,T'ien2,Tin4,Tin,Chan,Tiân,"Chan
Chang",Thièn,"Thien
Then",Thién,
Dong,Dǒng,Tung3,Dung2,Tung,Tong,"Táng
Tóng(Z)",Tong,Túng,Tung,Tûng,
Yuan,Yuán,Yüan2,Jyun4,Yuen,Wan,Oân,Wang,Yèn,Yen,Iōn,
Pan,Pān,P'an1,Pun1,"Poon
Pun",Pun,Phoaⁿ,Phua,Phân,"Pan
Phan",Phon,
Yu,Yú,Yü2,Jyu1,Yue,U,"Î(Z)
Û(X)
U(Q, K, T)",Yee,Yî,Yee,Uī,
