vii,type,Institution name,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,Alt7,Alt8,Alt9,Alt10
Australia,Academia,Australian National University,Australian National U ni versi ty,ANU,NICTA,,,,,,,
Australia,Academia,Deakin University,,,,,,,,,,
Australia,Academia,Queensland University of Technology,,,,,,,,,,
Australia,Academia,University of Adelaide,Univ of Adelaide,Univ. of Adelaide,,,,,,,,
Australia,Academia,University of Melbourne,,,,,,,,,,
Australia,Academia,University of New South Wales,Univ of New South Wales,Univ. of New South Wales,UNSW Australia,UNSW,@cse.unsw.edu.au,unsw.edu.au,,,,
Australia,Academia,University of Queensland,,,,,,,,,,
Australia,Academia,University of Sydney,Univ of Sydney,Univ. of Sydney,,,,,,,,
Australia,Academia,University of Technology Sydney,Univ of Technology Sydney,Univ. of Technology Sydney,"University of Technology, Sydney",,,,,,,
Australia,Academia,Monash University,,,,,,,,,,
Australia,Academia,University of South Australia,,,,,,,,,,
Australia,Academia,Grifﬁth University,,,,,,,,,,
Australia,Company,Data61,,,,,,,,,,
Australia,Government,CSIRO,Canberra Laboratory,cbr.dit.csiro.au,,,,,,,,
Australia,Government,Telstra Research Laboratories,,,,,,,,,,
Austria,Academia,Institute of Science and Technology Austria,IST Austria,"Institute of Science and Technology (IST), Austria",,,,,,,,
Austria,Academia,Johannes Kepler University,,,,,,,,,,
Austria,Academia,TU Graz,Graz Univ. of Technology,Graz University of Technology,Technische Universitaet Graz,Technische Universitat Graz,,,,,,
Austria,Academia,University Linz,Univ Linz,Univ. Linz,,,,,,,,
Austria,Academia,University of Salzburg,Univ of Salzburg,Univ. of Salzburg,,,,,,,,
Austria,Academia,Vienna University of Technology,,,,,,,,,,
Austria,Academia,University of Vienna,,,,,,,,,,
Austria,Academia,Alpen-Adria University,,,,,,,,,,
Austria,Government,Austrian Institute of Technology,,,,,,,,,,
Belgium,Academia,Ghent University,,,,,,,,,,
Belgium,Academia,KU Leuven,,,,,,,,,,
Belgium,Academia,Vrije Universiteit Brussel,,,,,,,,,,
Belgium,Company,NGDATA-Europe,,,,,,,,,,
Brazil,Academia,Federal University of Sao Paulo,,,,,,,,,,
Brazil,Academia,PUC-Rio,Pontifical Catholic University of Rio de Janeiro,@INF.PUC-RIO.BR,,,,,,,,
Canada,Academia,Dalhousie University,,,,,,,,,,
Canada,Academia,Ecole Polytechnique de Montreal,,,,,,,,,,
Canada,Academia,McMaster University,,,,,,,,,,
Canada,Academia,Simon Fraser University,,,,,,,,,,
Canada,Academia,Universite Laval,Universit?e Laval,Laval University,Laval,,,,,,,
Canada,Academia,University of Alberta,Univ of Alberta,Univ. of Alberta,,,,,,,,
Canada,Academia,University of British Columbia,Univ of British Columbia,Univ. of British Columbia,ubc.ca,,,,,,,
Canada,Academia,University of Montreal,Univ of Montreal,Univ. of Montreal,Universit?e de Montr?eal,Universite de Montreal,Universit? de Montr?al,Universit´e de Montr´eal,@iro.umontreal.ca,Université de Montréal,Universit de Montral,
Canada,Academia,University of Ottawa,,,,,,,,,,
Canada,Academia,University of Toronto,Univ of Toronto,Univ. of Toronto,@cs.toronto.edu,,,,,,,
Canada,Academia,University of Waterloo,Univ of Waterloo,Univ. of Waterloo,Univ. of Waterloo,,,,,,,
Canada,Academia,University of Guelph,,,,,,,,,,
Canada,Academia,York University,,,,,,,,,,
Canada,Academia,University of Victoria,,,,,,,,,,
Canada,Academia,Universit´e de Sherbrooke,,,,,,,,,,
Canada,Academia,Quest University,,,,,,,,,,
Canada,Company,D-Wave,,,,,,,,,,
Canada,Company,layer6,,,,,,,,,,
Canada,Company,Borealis AI,,,,,,,,,,
Canada,Independent Research,CIRANO,,,,,,,,,,
Chile,Academia,Universidad de Chile,,,,,,,,,,
China,Academia,Anhui University,,,,,,,,,,
China,Academia,Beijing Institute of Technology,Beijing Institute of Tech,,,,,,,,,
China,Academia,Beijing Jiaotong University,,,,,,,,,,
China,Academia,Beijing Normal University,bnu.edu.cn,,,,,,,,,
China,Academia,Beijing University of Posts and Telecommunications,,,,,,,,,,
China,Academia,Chinese Academy of Sciences,University of Chinese Academy of Sciences,"NLPR, Institute of Automation, Chinese Academy of Sciences",CAS Key lab of Network Data Science & Technology,,,,,,,
China,Academia,Dalian University of Technology,,,,,,,,,,
China,Academia,East China Normal University,,,,,,,,,,
China,Academia,Fudan University,,,,,,,,,,
China,Academia,Huazhong Univ. of Sci. and Tech.,Huazhong Univ. of Science and Technology,Huazhong University of Science and Technology,,,,,,,,
China,Academia,Nanjing University,,,,,,,,,,
China,Academia,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,
China,Academia,National University of Defense Technology,,,,,,,,,,
China,Academia,Northwestern Polytechnical University,,,,,,,,,,
China,Academia,Peking University,,,,,,,,,,
China,Academia,Shanghai Jiaotong University,Shanghai Jiao Tong University,,,,,,,,,
China,Academia,Shanghai University,,,,,,,,,,
China,Academia,ShanghaiTech University,,,,,,,,,,
China,Academia,Shenzhen Graduate School,,,,,,,,,,
China,Academia,Sichuan University,,,,,,,,,,
China,Academia,Southern University of Science and Technology,,,,,,,,,,
China,Academia,Southern University of Science and Technology,SUSTech China,,,,,,,,,
