conference,unique_id,title,code_urls
aaai,14285,Gated Neural Networks for Option Pricing: Rationality by Design,['https://github.com/arraystream/fftoptionlib']
aaai,14218,Entropic Causal Inference,['https://github.com/mkocaoglu/Entropic-Causality']
aaai,14279,ProjE: Embedding Projection for Knowledge Graph Completion,['https://github.com/Sujit-O/pykg2vec']
aaai,14501,Deep Spatio-Temporal Residual Networks for Citywide Crowd Flows Prediction,"['https://github.com/CrabAss/TrafficAnalysis', 'https://github.com/snehasinghania/STResNet']"
aaai,14858,The Option-Critic Architecture,"['https://github.com/UWaterloo-ASL/option-critic-architecture', 'https://github.com/huiwenzhang/oc-tf', 'https://github.com/arushi12130/SafeOptionCritic', 'https://github.com/jeanharb/option_critic', 'https://github.com/yadrimz/option-critic']"
aaai,14930,Learning Unitary Operators with Help From u(n),['https://github.com/ratschlab/uRNN']
aaai,14213,Denoising Criterion for Variational Auto-Encoding Framework,['https://github.com/gopala-kr/autoencoders']
aaai,14215,Structured Inference Networks for Nonlinear State Space Models,['https://github.com/clinicalml/structuredinference']
aaai,14456,Playing FPS Games with Deep Reinforcement Learning,"['https://github.com/RENHANFEI/vizdoom_health_gathering', 'https://github.com/KyleChen400/patch_dqn', 'https://github.com/RENHANFEI/vizdoom_patch_supreme', 'https://github.com/RENHANFEI/patch_sup', 'https://github.com/RENHANFEI/vizdoom_patch_dqn', 'https://github.com/jeffchy/Artificial-Idiot', 'https://github.com/glample/Arnold', 'https://github.com/rohitMalhotra07/deeplearling']"
aaai,14584,Tsallis Regularized Optimal Transport and Ecological Inference,['https://github.com/BorisMuzellec/TROT']
aaai,14557,Column Networks for Collective Classification,['https://github.com/trangptm/Column_networks']
aaai,14967,Label-Free Supervision of Neural Networks with Physics and Domain Knowledge,['https://github.com/Russell91/labelfree']
aaai,14344,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,"['https://github.com/L0SG/seqgan-music', 'https://github.com/bgenchel/MusicalSeqGAN', 'https://github.com/bgenchel/Reinforcement-Learning-for-Music-Generation', 'https://github.com/GuyTevet/SeqGAN-eval', 'https://github.com/rupes438/CodeGen', 'https://github.com/desire2020/RankGAN', 'https://github.com/suhoy901/SeqGAN', 'https://github.com/chung771026/Implement-seqGAN-with-Keras', 'https://github.com/vedantc6/SeqGAN', 'https://github.com/LantaoYu/SeqGAN', 'https://github.com/AWLyrics/SeqGAN_Poem', 'https://github.com/Bayesian-Razor/papernotes', 'https://github.com/akashkm99/RL-Paper-Notes', 'https://github.com/TalkToTheGAN/REGAN']"
aaai,14161,Neural Machine Translation with Reconstruction,['https://github.com/tuzhaopeng/nmt']
aaai,14571,Multiresolution Recurrent Neural Networks: An Application to Dialogue Response Generation,"['https://github.com/julianser/hed-dlg-truncated', 'https://github.com/julianser/Ubuntu-Multiresolution-Tools', 'https://github.com/WolfNiu/AdversarialDialogue', 'https://github.com/wayalhruhi/julianser']"
aaai,14567,A Hierarchical Latent Variable Encoder-Decoder Model for Generating Dialogues,"['https://github.com/julianser/hed-dlg-truncated', 'https://github.com/WolfNiu/AdversarialDialogue', 'https://github.com/wayalhruhi/julianser', 'https://github.com/mike-n-7/ADEM', 'https://github.com/natashamjaques/neural_chat', 'https://github.com/ctr4si/A-Hierarchical-Latent-Structure-for-Variational-Conversation-Modeling', 'https://github.com/nouhadziri/THRED', 'https://github.com/Tanasho0928/ncm']"
aaai,14563,Topic Aware Neural Response Generation,['https://github.com/nouhadziri/THRED']
aaai,14776,Neural Models for Sequence Chunking,['https://github.com/threelittlemonkeys/pointer-network-pytorch']
aaai,14322,BattRAE: Bidimensional Attention-Based Recursive Autoencoders for Learning Bilingual Phrase Embeddings,['https://github.com/DeepLearnXMU/BattRAE']
aaai,14904,Using Discourse Signals for Robust Instructor Intervention Prediction,['https://github.com/WING-NUS/lib4moocdata']
aaai,14741,Efficient Dependency-Guided Named Entity Recognition,['https://github.com/allanj/dependency-guided-ner']
aaai,14202,TextBoxes: A Fast Text Detector with a Single Deep Neural Network,"['https://github.com/MhLiao/TextBoxes', 'https://github.com/sonamghosh/local_hack_day_2018', 'https://github.com/TeodorPoncu/TextBoxes', 'https://github.com/youthhou1992/tb', 'https://github.com/wildwolf1994411/Text-Boxes-tensorflow']"
aaai,14972,ConceptNet 5.5: An Open Multilingual Graph of General Knowledge,"['https://github.com/shayanray/ApplyingCommonSense', 'https://github.com/avi-jit/SWOW-eval', 'https://github.com/commonsense/conceptnet-numberbatch']"
neurips,7205,Robust and Efficient Transfer Learning with Hidden Parameter Markov Decision Processes,['https://github.com/dtak/hip-mdp-public']
aaai,11914,VBPR: Visual Bayesian Personalized Ranking from Implicit Feedback,"['https://github.com/abkds/r-ecommender', 'https://github.com/arogers1/VBPR', 'https://github.com/domainxz/top-k-rec']"
aaai,12272,Building a Large Scale Dataset for Image Emotion Recognition: The Fine Print and The Benchmark,['https://github.com/noahj08/DeepConnotation']
aaai,11775,Convolutional Neural Networks over Tree Structures for Programming Language Processing,"['https://github.com/crestonbunch/tbcnn', 'https://github.com/bdqnghi/bi-tbcnn', 'https://github.com/bdqnghi/ggnn_graph_classification', 'https://github.com/spcl/ncc']"
aaai,12428,Increasing the Action Gap: New Operators for Reinforcement Learning,"['https://github.com/janhuenermann/neurojs', 'https://github.com/chainer/chainerrl']"
aaai,11835,Preconditioned Stochastic Gradient Langevin Dynamics for Deep Neural Networks,"['https://github.com/JavierAntoran/Bayesain-Neural-Networks', 'https://github.com/JavierAntoran/Bayesian-Neural-Networks']"
aaai,12051,Learning FRAME Models Using CNN Filters,['https://github.com/jamesvuc/FRAMEmodel']
aaai,11981,Reinforcement Learning with Parameterized Actions,"['https://github.com/cycraig/MP-DQN', 'https://github.com/cycraig/gym-platform', 'https://github.com/cycraig/gym-goal']"
aaai,12484,Holographic Embeddings of Knowledge Graphs,"['https://github.com/mnick/holographic-embeddings', 'https://github.com/Accenture/AmpliGraph']"
