conference,unique_id,institutions
aaai,14553,"['Virginia Tech', 'Twitter']"
aaai,14746,"['Carnegie Mellon', 'University of Michigan']"
aaai,14192,['Kyungpook National University']
aaai,14348,"['Tsinghua University', 'Microsoft', 'Ant Financial']"
aaai,14269,"['Michigan State University', 'SUNY Buffalo']"
aaai,14561,"['Beijing University of Posts and Telecommunications', 'Tsinghua University']"
aaai,14791,['UT Dallas']
aaai,14285,"['Imperial College London', 'University of London']"
aaai,14347,"['Nanjing University', 'Nanjing University of Aeronautics and Astronautics']"
aaai,14719,"['Chinese Academy of Sciences', 'Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'Hong Kong Polytechnic University']"
aaai,14763,"['Peking University', 'Tsinghua University', 'University of Southampton', 'Georgia Institute of Technology']"
aaai,14559,"['Tsinghua University', 'Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology, Hong Kong']"
aaai,14730,['University of Mannheim']
aaai,14845,['National University of Singapore']
aaai,14902,['Nanyang Technological University']
aaai,14878,['National University of Singapore']
aaai,14612,['Tianjin University']
aaai,14863,"['University of Tokyo', 'National Institute of Informatics']"
aaai,14772,['NTT']
aaai,14254,"['Tsinghua University', 'Cornell', 'University of Illinois at Urbana-Champaign']"
aaai,14709,[]
aaai,14508,"['Zhejiang University', 'University of Illinois at Urbana-Champaign']"
aaai,14712,"['Tsinghua University', 'Chinese University of Hong Kong', 'The Chinese University of Hong Kong']"
aaai,14396,['NTT']
aaai,14199,['EPFL']
aaai,14663,"['University of Queensland', 'University of Electronic Science and Technology of China']"
aaai,14679,"['Nanyang Technological University', 'Delft University of Technology']"
aaai,14589,"['Simon Fraser University', 'Tsinghua University']"
aaai,14239,"['Arizona State University', 'Michigan State University', 'University of Central Florida']"
aaai,14159,['Tsinghua University']
aaai,14506,['Nankai University']
aaai,14964,"['University of Rochester', 'Adobe']"
aaai,14360,"['Georgia Institute of Technology', 'Sharif University of Technology']"
aaai,14349,"['University of New South Wales', 'University of Technology Sydney']"
aaai,14721,"['Chinese Academy of Sciences', 'The University of Hong Kong', 'Xiaomi']"
aaai,15029,['University of Alberta']
aaai,14820,"['Massachusetts Institute of Technology', 'University of Massachusetts Amherst']"
aaai,14669,"['University of Queensland', 'University of Electronic Science and Technology of China']"
aaai,14560,['University of New South Wales']
aaai,15015,"['Amazon', 'Microsoft']"
aaai,14541,"['Duke University', 'University of Texas at Austin']"
aaai,14911,"['University of Nottingham', 'Cornell', 'Microsoft']"
aaai,14608,"['Duke University', 'University of Michigan', 'Sharif University of Technology']"
aaai,14905,['Bar-Ilan University']
aaai,14623,"['University of New South Wales', 'Data61', 'CSIRO', 'PSL Research University', 'CNRS', 'Carnegie Mellon']"
aaai,14606,"['University of New South Wales', 'Data61', 'Technical University Berlin']"
aaai,14903,['University of L’Aquila']
aaai,14895,['University of L’Aquila']
aaai,14264,"['Politecnico di Milano', 'University of Milan']"
aaai,15011,"['University of Maryland', 'Google']"
aaai,14980,"['University of Maryland', 'Sina']"
aaai,14283,['Carnegie Mellon']
aaai,14605,"['Aalto University', 'Carnegie Mellon']"
aaai,14640,"['Technical University Berlin', 'Hebrew University', 'Weizmann Institute of Science', 'University of Oxford']"
aaai,15040,['Boston University']
aaai,14757,"['University of Oxford', 'Duke University']"
aaai,14782,"['Ecole Normale Superieure', 'CNRS', 'University of Oxford']"
aaai,14855,['Carnegie Mellon']
aaai,14621,['University of Patras']
aaai,14334,"['Sichuan University', 'University of Georgia']"
aaai,14300,['Tsinghua University']
aaai,14894,"['University of Oxford', 'Technische Universität Wien (TU Wien)']"
aaai,14554,['University of Warsaw']
aaai,14266,"['University of Liverpool', 'Durham University']"
aaai,14537,['Duke University']
aaai,14704,"['Duke University', 'University of Pennsylvania']"
aaai,14667,"['Carnegie Mellon', 'University of Maryland']"
aaai,14924,"['Ecole Normale Superieure', 'Weizmann Institute of Science', 'University of Oxford']"
aaai,14423,"['Politecnico di Milano', 'Carnegie Mellon']"
aaai,14593,['City University of New York']
aaai,14635,['University of Essex']
aaai,14675,"['Duke University', 'Microsoft']"
aaai,14942,"['Nanyang Technological University', 'Vanderbilt']"
aaai,14986,"['Stony Brook University', 'University of Michigan']"
aaai,14631,['Rensselaer Polytechnic Institute']
