conference,unique_id,title,categories,keywords
aaai,14192,A Leukocyte Detection Technique in Blood Smear Images Using Plant Growth Simulation Algorithm,{'Healthcare'},{'blood'}
aaai,14269,Novel Geometric Approach for Global Alignment of PPI Networks,{'Healthcare'},{'protein'}
aaai,14285,Gated Neural Networks for Option Pricing: Rationality by Design,{'Economics'},{'pricing'}
aaai,14719,Volumetric ConvNets with Mixed Residual Connections for Automated Prostate Segmentation from 3D MR Images,{'Healthcare'},{'medical'}
aaai,14845,TweetFit: Fusing Multiple Social Media and Sensor Data for Wellness Profile Learning,{'Healthcare'},{'wellness'}
aaai,14612,Joint Identification of Network Communities and Semantics via Integrative Modeling of Network Topologies and Node Contents,{'Safety'},{'Interpretability'}
aaai,14199,Radon – Rapid Discovery of Topological Relations,{'Satellite'},{'geospatial'}
aaai,14721,Efficient Delivery Policy to Minimize User Traffic Consumption in Guaranteed Advertising,{'Economics'},{'exchange'}
aaai,15015,Market Pricing for Data Streams,{'Economics'},{'pricing'}
aaai,15011,A Study of Compact Reserve Pricing Languages,{'Economics'},{'pricing'}
aaai,14980,Faster and Simpler Algorithm for Optimal Strategies of Blotto Game,{'Economics'},{'election'}
aaai,14283,Preference Elicitation For Participatory Budgeting,{'Economics'},{'knapsack'}
aaai,15040,Probably Approximately Efficient Combinatorial Auctions via Machine Learning,{'Economics'},{'auction'}
aaai,14757,Phragmén's Voting Methods and Justified Representation,{'Economics'},{'voting'}
aaai,14782,Multiwinner Approval Rules as Apportionment Methods,{'Economics'},{'voting'}
aaai,14554,Approximation and Parameterized Complexity of Minimax Approval Voting,{'Economics'},{'voting'}
aaai,14667,Small Representations of Big Kidney Exchange Graphs,"{'Healthcare', 'Economics'}","{'exchange', 'kidney'}"
aaai,14924,What Do Multiwinner Voting Rules Do? An Experiment Over the Two-Dimensional Euclidean Domain,"{'Finance', 'Economics'}","{'portfolio', 'voting'}"
aaai,14593,Selfish Knapsack,{'Economics'},{'knapsack'}
aaai,14879,Mechanism Design in Social Networks,{'Economics'},{'auction'}
aaai,14318,Optimal Personalized Defense Strategy Against Man-In-The-Middle Attack,{'Security'},{'hacking'}
aaai,14970,Sequential Peer Prediction: Learning to Elicit Effort using Posted Prices,{'Economics'},{'trade'}
aaai,14562,Optimal Pricing for Submodular Valuations with Bounded Curvature,{'Economics'},{'pricing'}
